sequence;now;first;second;third;fourth;fifth
23;2007/11/0510:44:43.23;12.367;undeuxtroisquatrecinq;0304/12/0500:00:00.022;Y;12367
24;2007/11/0510:44:43.24;12.368;undeuxtroisquatrecinq;0304/12/0500:00:00.023;Y;12368
25;2007/11/0510:44:43.25;12.369;undeuxtroisquatrecinq;0304/12/0500:00:00.024;Y;12369
26;2007/11/0510:44:43.26;12.370;undeuxtroisquatrecinq;0304/12/0500:00:00.025;Y;12370
27;2007/11/0510:44:43.27;12.371;undeuxtroisquatrecinq;0304/12/0500:00:00.026;Y;12371
28;2007/11/0510:44:43.28;12.372;undeuxtroisquatrecinq;0304/12/0500:00:00.027;Y;12372
29;2007/11/0510:44:43.29;12.373;undeuxtroisquatrecinq;0304/12/0500:00:00.028;Y;12373
30;2007/11/0510:44:43.30;12.374;undeuxtroisquatrecinq;0304/12/0500:00:00.029;Y;12374
31;2007/11/0510:44:43.31;12.375;undeuxtroisquatrecinq;0304/12/0500:00:00.030;Y;12375
32;2007/11/0510:44:43.32;12.376;undeuxtroisquatrecinq;0304/12/0500:00:00.031;Y;12376
33;2007/11/0510:44:43.33;12.377;undeuxtroisquatrecinq;0304/12/0500:00:00.032;Y;12377
34;2007/11/0510:44:43.34;12.378;undeuxtroisquatrecinq;0304/12/0500:00:00.033;Y;12378
35;2007/11/0510:44:43.35;12.379;undeuxtroisquatrecinq;0304/12/0500:00:00.034;Y;12379
36;2007/11/0510:44:43.36;12.380;undeuxtroisquatrecinq;0304/12/0500:00:00.035;Y;12380
37;2007/11/0510:44:43.37;12.381;undeuxtroisquatrecinq;0304/12/0500:00:00.036;Y;12381
38;2007/11/0510:44:43.38;12.382;undeuxtroisquatrecinq;0304/12/0500:00:00.037;Y;12382
39;2007/11/0510:44:43.39;12.383;undeuxtroisquatrecinq;0304/12/0500:00:00.038;Y;12383
40;2007/11/0510:44:43.40;12.384;undeuxtroisquatrecinq;0304/12/0500:00:00.039;Y;12384
41;2007/11/0510:44:43.41;12.385;undeuxtroisquatrecinq;0304/12/0500:00:00.040;Y;12385
42;2007/11/0510:44:43.42;12.386;undeuxtroisquatrecinq;0304/12/0500:00:00.041;Y;12386
43;2007/11/0510:44:43.43;12.387;undeuxtroisquatrecinq;0304/12/0500:00:00.042;Y;12387
44;2007/11/0510:44:43.44;12.388;undeuxtroisquatrecinq;0304/12/0500:00:00.043;Y;12388
45;2007/11/0510:44:43.45;12.389;undeuxtroisquatrecinq;0304/12/0500:00:00.044;Y;12389
46;2007/11/0510:44:43.46;12.390;undeuxtroisquatrecinq;0304/12/0500:00:00.045;Y;12390
47;2007/11/0510:44:43.47;12.391;undeuxtroisquatrecinq;0304/12/0500:00:00.046;Y;12391
48;2007/11/0510:44:43.48;12.392;undeuxtroisquatrecinq;0304/12/0500:00:00.047;Y;12392
49;2007/11/0510:44:43.49;12.393;undeuxtroisquatrecinq;0304/12/0500:00:00.048;Y;12393
50;2007/11/0510:44:43.50;12.394;undeuxtroisquatrecinq;0304/12/0500:00:00.049;Y;12394
51;2007/11/0510:44:43.51;12.395;undeuxtroisquatrecinq;0304/12/0500:00:00.050;Y;12395
52;2007/11/0510:44:43.52;12.396;undeuxtroisquatrecinq;0304/12/0500:00:00.051;Y;12396
53;2007/11/0510:44:43.53;12.397;undeuxtroisquatrecinq;0304/12/0500:00:00.052;Y;12397
54;2007/11/0510:44:43.54;12.398;undeuxtroisquatrecinq;0304/12/0500:00:00.053;Y;12398
55;2007/11/0510:44:43.55;12.399;undeuxtroisquatrecinq;0304/12/0500:00:00.054;Y;12399
56;2007/11/0510:44:43.56;12.400;undeuxtroisquatrecinq;0304/12/0500:00:00.055;Y;12400
57;2007/11/0510:44:43.57;12.401;undeuxtroisquatrecinq;0304/12/0500:00:00.056;Y;12401
58;2007/11/0510:44:43.58;12.402;undeuxtroisquatrecinq;0304/12/0500:00:00.057;Y;12402
59;2007/11/0510:44:43.59;12.403;undeuxtroisquatrecinq;0304/12/0500:00:00.058;Y;12403
60;2007/11/0510:44:43.60;12.404;undeuxtroisquatrecinq;0304/12/0500:00:00.059;Y;12404
61;2007/11/0510:44:43.61;12.405;undeuxtroisquatrecinq;0304/12/0500:00:00.060;Y;12405
62;2007/11/0510:44:43.62;12.406;undeuxtroisquatrecinq;0304/12/0500:00:00.061;Y;12406
63;2007/11/0510:44:43.63;12.407;undeuxtroisquatrecinq;0304/12/0500:00:00.062;Y;12407
64;2007/11/0510:44:43.64;12.408;undeuxtroisquatrecinq;0304/12/0500:00:00.063;Y;12408
65;2007/11/0510:44:43.65;12.409;undeuxtroisquatrecinq;0304/12/0500:00:00.064;Y;12409
66;2007/11/0510:44:43.66;12.410;undeuxtroisquatrecinq;0304/12/0500:00:00.065;Y;12410
67;2007/11/0510:44:43.67;12.411;undeuxtroisquatrecinq;0304/12/0500:00:00.066;Y;12411
68;2007/11/0510:44:43.68;12.412;undeuxtroisquatrecinq;0304/12/0500:00:00.067;Y;12412
69;2007/11/0510:44:43.69;12.413;undeuxtroisquatrecinq;0304/12/0500:00:00.068;Y;12413
70;2007/11/0510:44:43.70;12.414;undeuxtroisquatrecinq;0304/12/0500:00:00.069;Y;12414
71;2007/11/0510:44:43.71;12.415;undeuxtroisquatrecinq;0304/12/0500:00:00.070;Y;12415
72;2007/11/0510:44:43.72;12.416;undeuxtroisquatrecinq;0304/12/0500:00:00.071;Y;12416
73;2007/11/0510:44:43.73;12.417;undeuxtroisquatrecinq;0304/12/0500:00:00.072;Y;12417
74;2007/11/0510:44:43.74;12.418;undeuxtroisquatrecinq;0304/12/0500:00:00.073;Y;12418
75;2007/11/0510:44:43.75;12.419;undeuxtroisquatrecinq;0304/12/0500:00:00.074;Y;12419
76;2007/11/0510:44:43.76;12.420;undeuxtroisquatrecinq;0304/12/0500:00:00.075;Y;12420
77;2007/11/0510:44:43.77;12.421;undeuxtroisquatrecinq;0304/12/0500:00:00.076;Y;12421
78;2007/11/0510:44:43.78;12.422;undeuxtroisquatrecinq;0304/12/0500:00:00.077;Y;12422
79;2007/11/0510:44:43.79;12.423;undeuxtroisquatrecinq;0304/12/0500:00:00.078;Y;12423
80;2007/11/0510:44:43.80;12.424;undeuxtroisquatrecinq;0304/12/0500:00:00.079;Y;12424
81;2007/11/0510:44:43.81;12.425;undeuxtroisquatrecinq;0304/12/0500:00:00.080;Y;12425
82;2007/11/0510:44:43.82;12.426;undeuxtroisquatrecinq;0304/12/0500:00:00.081;Y;12426
83;2007/11/0510:44:43.83;12.427;undeuxtroisquatrecinq;0304/12/0500:00:00.082;Y;12427
84;2007/11/0510:44:43.84;12.428;undeuxtroisquatrecinq;0304/12/0500:00:00.083;Y;12428
85;2007/11/0510:44:43.85;12.429;undeuxtroisquatrecinq;0304/12/0500:00:00.084;Y;12429
86;2007/11/0510:44:43.86;12.430;undeuxtroisquatrecinq;0304/12/0500:00:00.085;Y;12430
87;2007/11/0510:44:43.87;12.431;undeuxtroisquatrecinq;0304/12/0500:00:00.086;Y;12431
88;2007/11/0510:44:43.88;12.432;undeuxtroisquatrecinq;0304/12/0500:00:00.087;Y;12432
89;2007/11/0510:44:43.89;12.433;undeuxtroisquatrecinq;0304/12/0500:00:00.088;Y;12433
90;2007/11/0510:44:43.90;12.434;undeuxtroisquatrecinq;0304/12/0500:00:00.089;Y;12434
91;2007/11/0510:44:43.91;12.435;undeuxtroisquatrecinq;0304/12/0500:00:00.090;Y;12435
92;2007/11/0510:44:43.92;12.436;undeuxtroisquatrecinq;0304/12/0500:00:00.091;Y;12436
93;2007/11/0510:44:43.93;12.437;undeuxtroisquatrecinq;0304/12/0500:00:00.092;Y;12437
94;2007/11/0510:44:43.94;12.438;undeuxtroisquatrecinq;0304/12/0500:00:00.093;Y;12438
95;2007/11/0510:44:43.95;12.439;undeuxtroisquatrecinq;0304/12/0500:00:00.094;Y;12439
96;2007/11/0510:44:43.96;12.440;undeuxtroisquatrecinq;0304/12/0500:00:00.095;Y;12440
97;2007/11/0510:44:43.97;12.441;undeuxtroisquatrecinq;0304/12/0500:00:00.096;Y;12441
98;2007/11/0510:44:43.98;12.442;undeuxtroisquatrecinq;0304/12/0500:00:00.097;Y;12442
99;2007/11/0510:44:43.99;12.443;undeuxtroisquatrecinq;0304/12/0500:00:00.098;Y;12443
100;2007/11/0510:44:43.100;12.444;undeuxtroisquatrecinq;0304/12/0500:00:00.099;Y;12444
101;2007/11/0510:44:43.101;12.445;undeuxtroisquatrecinq;0304/12/0500:00:00.100;Y;12445
102;2007/11/0510:44:43.102;12.446;undeuxtroisquatrecinq;0304/12/0500:00:00.101;Y;12446
103;2007/11/0510:44:43.103;12.447;undeuxtroisquatrecinq;0304/12/0500:00:00.102;Y;12447
104;2007/11/0510:44:43.104;12.448;undeuxtroisquatrecinq;0304/12/0500:00:00.103;Y;12448
105;2007/11/0510:44:43.105;12.449;undeuxtroisquatrecinq;0304/12/0500:00:00.104;Y;12449
106;2007/11/0510:44:43.106;12.450;undeuxtroisquatrecinq;0304/12/0500:00:00.105;Y;12450
107;2007/11/0510:44:43.107;12.451;undeuxtroisquatrecinq;0304/12/0500:00:00.106;Y;12451
108;2007/11/0510:44:43.108;12.452;undeuxtroisquatrecinq;0304/12/0500:00:00.107;Y;12452
109;2007/11/0510:44:43.109;12.453;undeuxtroisquatrecinq;0304/12/0500:00:00.108;Y;12453
110;2007/11/0510:44:43.110;12.454;undeuxtroisquatrecinq;0304/12/0500:00:00.109;Y;12454
111;2007/11/0510:44:43.111;12.455;undeuxtroisquatrecinq;0304/12/0500:00:00.110;Y;12455
112;2007/11/0510:44:43.112;12.456;undeuxtroisquatrecinq;0304/12/0500:00:00.111;Y;12456
113;2007/11/0510:44:43.113;12.457;undeuxtroisquatrecinq;0304/12/0500:00:00.112;Y;12457
114;2007/11/0510:44:43.114;12.458;undeuxtroisquatrecinq;0304/12/0500:00:00.113;Y;12458
115;2007/11/0510:44:43.115;12.459;undeuxtroisquatrecinq;0304/12/0500:00:00.114;Y;12459
116;2007/11/0510:44:43.116;12.460;undeuxtroisquatrecinq;0304/12/0500:00:00.115;Y;12460
117;2007/11/0510:44:43.117;12.461;undeuxtroisquatrecinq;0304/12/0500:00:00.116;Y;12461
118;2007/11/0510:44:43.118;12.462;undeuxtroisquatrecinq;0304/12/0500:00:00.117;Y;12462
119;2007/11/0510:44:43.119;12.463;undeuxtroisquatrecinq;0304/12/0500:00:00.118;Y;12463
120;2007/11/0510:44:43.120;12.464;undeuxtroisquatrecinq;0304/12/0500:00:00.119;Y;12464
121;2007/11/0510:44:43.121;12.465;undeuxtroisquatrecinq;0304/12/0500:00:00.120;Y;12465
122;2007/11/0510:44:43.122;12.466;undeuxtroisquatrecinq;0304/12/0500:00:00.121;Y;12466
123;2007/11/0510:44:43.123;12.467;undeuxtroisquatrecinq;0304/12/0500:00:00.122;Y;12467
124;2007/11/0510:44:43.124;12.468;undeuxtroisquatrecinq;0304/12/0500:00:00.123;Y;12468
125;2007/11/0510:44:43.125;12.469;undeuxtroisquatrecinq;0304/12/0500:00:00.124;Y;12469
126;2007/11/0510:44:43.126;12.470;undeuxtroisquatrecinq;0304/12/0500:00:00.125;Y;12470
127;2007/11/0510:44:43.127;12.471;undeuxtroisquatrecinq;0304/12/0500:00:00.126;Y;12471
128;2007/11/0510:44:43.128;12.472;undeuxtroisquatrecinq;0304/12/0500:00:00.127;Y;12472
129;2007/11/0510:44:43.129;12.473;undeuxtroisquatrecinq;0304/12/0500:00:00.128;Y;12473
130;2007/11/0510:44:43.130;12.474;undeuxtroisquatrecinq;0304/12/0500:00:00.129;Y;12474
131;2007/11/0510:44:43.131;12.475;undeuxtroisquatrecinq;0304/12/0500:00:00.130;Y;12475
132;2007/11/0510:44:43.132;12.476;undeuxtroisquatrecinq;0304/12/0500:00:00.131;Y;12476
133;2007/11/0510:44:43.133;12.477;undeuxtroisquatrecinq;0304/12/0500:00:00.132;Y;12477
134;2007/11/0510:44:43.134;12.478;undeuxtroisquatrecinq;0304/12/0500:00:00.133;Y;12478
135;2007/11/0510:44:43.135;12.479;undeuxtroisquatrecinq;0304/12/0500:00:00.134;Y;12479
136;2007/11/0510:44:43.136;12.480;undeuxtroisquatrecinq;0304/12/0500:00:00.135;Y;12480
137;2007/11/0510:44:43.137;12.481;undeuxtroisquatrecinq;0304/12/0500:00:00.136;Y;12481
138;2007/11/0510:44:43.138;12.482;undeuxtroisquatrecinq;0304/12/0500:00:00.137;Y;12482
139;2007/11/0510:44:43.139;12.483;undeuxtroisquatrecinq;0304/12/0500:00:00.138;Y;12483
140;2007/11/0510:44:43.140;12.484;undeuxtroisquatrecinq;0304/12/0500:00:00.139;Y;12484
141;2007/11/0510:44:43.141;12.485;undeuxtroisquatrecinq;0304/12/0500:00:00.140;Y;12485
142;2007/11/0510:44:43.142;12.486;undeuxtroisquatrecinq;0304/12/0500:00:00.141;Y;12486
143;2007/11/0510:44:43.143;12.487;undeuxtroisquatrecinq;0304/12/0500:00:00.142;Y;12487
144;2007/11/0510:44:43.144;12.488;undeuxtroisquatrecinq;0304/12/0500:00:00.143;Y;12488
145;2007/11/0510:44:43.145;12.489;undeuxtroisquatrecinq;0304/12/0500:00:00.144;Y;12489
146;2007/11/0510:44:43.146;12.490;undeuxtroisquatrecinq;0304/12/0500:00:00.145;Y;12490
147;2007/11/0510:44:43.147;12.491;undeuxtroisquatrecinq;0304/12/0500:00:00.146;Y;12491
148;2007/11/0510:44:43.148;12.492;undeuxtroisquatrecinq;0304/12/0500:00:00.147;Y;12492
149;2007/11/0510:44:43.149;12.493;undeuxtroisquatrecinq;0304/12/0500:00:00.148;Y;12493
150;2007/11/0510:44:43.150;12.494;undeuxtroisquatrecinq;0304/12/0500:00:00.149;Y;12494
151;2007/11/0510:44:43.151;12.495;undeuxtroisquatrecinq;0304/12/0500:00:00.150;Y;12495
152;2007/11/0510:44:43.152;12.496;undeuxtroisquatrecinq;0304/12/0500:00:00.151;Y;12496
153;2007/11/0510:44:43.153;12.497;undeuxtroisquatrecinq;0304/12/0500:00:00.152;Y;12497
154;2007/11/0510:44:43.154;12.498;undeuxtroisquatrecinq;0304/12/0500:00:00.153;Y;12498
155;2007/11/0510:44:43.155;12.499;undeuxtroisquatrecinq;0304/12/0500:00:00.154;Y;12499
156;2007/11/0510:44:43.156;12.500;undeuxtroisquatrecinq;0304/12/0500:00:00.155;Y;12500
157;2007/11/0510:44:43.157;12.501;undeuxtroisquatrecinq;0304/12/0500:00:00.156;Y;12501
158;2007/11/0510:44:43.158;12.502;undeuxtroisquatrecinq;0304/12/0500:00:00.157;Y;12502
159;2007/11/0510:44:43.159;12.503;undeuxtroisquatrecinq;0304/12/0500:00:00.158;Y;12503
160;2007/11/0510:44:43.160;12.504;undeuxtroisquatrecinq;0304/12/0500:00:00.159;Y;12504
161;2007/11/0510:44:43.161;12.505;undeuxtroisquatrecinq;0304/12/0500:00:00.160;Y;12505
162;2007/11/0510:44:43.162;12.506;undeuxtroisquatrecinq;0304/12/0500:00:00.161;Y;12506
163;2007/11/0510:44:43.163;12.507;undeuxtroisquatrecinq;0304/12/0500:00:00.162;Y;12507
164;2007/11/0510:44:43.164;12.508;undeuxtroisquatrecinq;0304/12/0500:00:00.163;Y;12508
165;2007/11/0510:44:43.165;12.509;undeuxtroisquatrecinq;0304/12/0500:00:00.164;Y;12509
166;2007/11/0510:44:43.166;12.510;undeuxtroisquatrecinq;0304/12/0500:00:00.165;Y;12510
167;2007/11/0510:44:43.167;12.511;undeuxtroisquatrecinq;0304/12/0500:00:00.166;Y;12511
168;2007/11/0510:44:43.168;12.512;undeuxtroisquatrecinq;0304/12/0500:00:00.167;Y;12512
169;2007/11/0510:44:43.169;12.513;undeuxtroisquatrecinq;0304/12/0500:00:00.168;Y;12513
170;2007/11/0510:44:43.170;12.514;undeuxtroisquatrecinq;0304/12/0500:00:00.169;Y;12514
171;2007/11/0510:44:43.171;12.515;undeuxtroisquatrecinq;0304/12/0500:00:00.170;Y;12515
172;2007/11/0510:44:43.172;12.516;undeuxtroisquatrecinq;0304/12/0500:00:00.171;Y;12516
173;2007/11/0510:44:43.173;12.517;undeuxtroisquatrecinq;0304/12/0500:00:00.172;Y;12517
174;2007/11/0510:44:43.174;12.518;undeuxtroisquatrecinq;0304/12/0500:00:00.173;Y;12518
175;2007/11/0510:44:43.175;12.519;undeuxtroisquatrecinq;0304/12/0500:00:00.174;Y;12519
176;2007/11/0510:44:43.176;12.520;undeuxtroisquatrecinq;0304/12/0500:00:00.175;Y;12520
177;2007/11/0510:44:43.177;12.521;undeuxtroisquatrecinq;0304/12/0500:00:00.176;Y;12521
178;2007/11/0510:44:43.178;12.522;undeuxtroisquatrecinq;0304/12/0500:00:00.177;Y;12522
179;2007/11/0510:44:43.179;12.523;undeuxtroisquatrecinq;0304/12/0500:00:00.178;Y;12523
180;2007/11/0510:44:43.180;12.524;undeuxtroisquatrecinq;0304/12/0500:00:00.179;Y;12524
181;2007/11/0510:44:43.181;12.525;undeuxtroisquatrecinq;0304/12/0500:00:00.180;Y;12525
182;2007/11/0510:44:43.182;12.526;undeuxtroisquatrecinq;0304/12/0500:00:00.181;Y;12526
183;2007/11/0510:44:43.183;12.527;undeuxtroisquatrecinq;0304/12/0500:00:00.182;Y;12527
184;2007/11/0510:44:43.184;12.528;undeuxtroisquatrecinq;0304/12/0500:00:00.183;Y;12528
185;2007/11/0510:44:43.185;12.529;undeuxtroisquatrecinq;0304/12/0500:00:00.184;Y;12529
186;2007/11/0510:44:43.186;12.530;undeuxtroisquatrecinq;0304/12/0500:00:00.185;Y;12530
187;2007/11/0510:44:43.187;12.531;undeuxtroisquatrecinq;0304/12/0500:00:00.186;Y;12531
188;2007/11/0510:44:43.188;12.532;undeuxtroisquatrecinq;0304/12/0500:00:00.187;Y;12532
189;2007/11/0510:44:43.189;12.533;undeuxtroisquatrecinq;0304/12/0500:00:00.188;Y;12533
190;2007/11/0510:44:43.190;12.534;undeuxtroisquatrecinq;0304/12/0500:00:00.189;Y;12534
191;2007/11/0510:44:43.191;12.535;undeuxtroisquatrecinq;0304/12/0500:00:00.190;Y;12535
192;2007/11/0510:44:43.192;12.536;undeuxtroisquatrecinq;0304/12/0500:00:00.191;Y;12536
193;2007/11/0510:44:43.193;12.537;undeuxtroisquatrecinq;0304/12/0500:00:00.192;Y;12537
194;2007/11/0510:44:43.194;12.538;undeuxtroisquatrecinq;0304/12/0500:00:00.193;Y;12538
195;2007/11/0510:44:43.195;12.539;undeuxtroisquatrecinq;0304/12/0500:00:00.194;Y;12539
196;2007/11/0510:44:43.196;12.540;undeuxtroisquatrecinq;0304/12/0500:00:00.195;Y;12540
197;2007/11/0510:44:43.197;12.541;undeuxtroisquatrecinq;0304/12/0500:00:00.196;Y;12541
198;2007/11/0510:44:43.198;12.542;undeuxtroisquatrecinq;0304/12/0500:00:00.197;Y;12542
199;2007/11/0510:44:43.199;12.543;undeuxtroisquatrecinq;0304/12/0500:00:00.198;Y;12543
200;2007/11/0510:44:43.200;12.544;undeuxtroisquatrecinq;0304/12/0500:00:00.199;Y;12544
201;2007/11/0510:44:43.201;12.545;undeuxtroisquatrecinq;0304/12/0500:00:00.200;Y;12545
202;2007/11/0510:44:43.202;12.546;undeuxtroisquatrecinq;0304/12/0500:00:00.201;Y;12546
203;2007/11/0510:44:43.203;12.547;undeuxtroisquatrecinq;0304/12/0500:00:00.202;Y;12547
204;2007/11/0510:44:43.204;12.548;undeuxtroisquatrecinq;0304/12/0500:00:00.203;Y;12548
205;2007/11/0510:44:43.205;12.549;undeuxtroisquatrecinq;0304/12/0500:00:00.204;Y;12549
206;2007/11/0510:44:43.206;12.550;undeuxtroisquatrecinq;0304/12/0500:00:00.205;Y;12550
207;2007/11/0510:44:43.207;12.551;undeuxtroisquatrecinq;0304/12/0500:00:00.206;Y;12551
208;2007/11/0510:44:43.208;12.552;undeuxtroisquatrecinq;0304/12/0500:00:00.207;Y;12552
209;2007/11/0510:44:43.209;12.553;undeuxtroisquatrecinq;0304/12/0500:00:00.208;Y;12553
210;2007/11/0510:44:43.210;12.554;undeuxtroisquatrecinq;0304/12/0500:00:00.209;Y;12554
211;2007/11/0510:44:43.211;12.555;undeuxtroisquatrecinq;0304/12/0500:00:00.210;Y;12555
212;2007/11/0510:44:43.212;12.556;undeuxtroisquatrecinq;0304/12/0500:00:00.211;Y;12556
213;2007/11/0510:44:43.213;12.557;undeuxtroisquatrecinq;0304/12/0500:00:00.212;Y;12557
214;2007/11/0510:44:43.214;12.558;undeuxtroisquatrecinq;0304/12/0500:00:00.213;Y;12558
215;2007/11/0510:44:43.215;12.559;undeuxtroisquatrecinq;0304/12/0500:00:00.214;Y;12559
216;2007/11/0510:44:43.216;12.560;undeuxtroisquatrecinq;0304/12/0500:00:00.215;Y;12560
217;2007/11/0510:44:43.217;12.561;undeuxtroisquatrecinq;0304/12/0500:00:00.216;Y;12561
218;2007/11/0510:44:43.218;12.562;undeuxtroisquatrecinq;0304/12/0500:00:00.217;Y;12562
219;2007/11/0510:44:43.219;12.563;undeuxtroisquatrecinq;0304/12/0500:00:00.218;Y;12563
220;2007/11/0510:44:43.220;12.564;undeuxtroisquatrecinq;0304/12/0500:00:00.219;Y;12564
221;2007/11/0510:44:43.221;12.565;undeuxtroisquatrecinq;0304/12/0500:00:00.220;Y;12565
222;2007/11/0510:44:43.222;12.566;undeuxtroisquatrecinq;0304/12/0500:00:00.221;Y;12566
223;2007/11/0510:44:43.223;12.567;undeuxtroisquatrecinq;0304/12/0500:00:00.222;Y;12567
224;2007/11/0510:44:43.224;12.568;undeuxtroisquatrecinq;0304/12/0500:00:00.223;Y;12568
225;2007/11/0510:44:43.225;12.569;undeuxtroisquatrecinq;0304/12/0500:00:00.224;Y;12569
226;2007/11/0510:44:43.226;12.570;undeuxtroisquatrecinq;0304/12/0500:00:00.225;Y;12570
227;2007/11/0510:44:43.227;12.571;undeuxtroisquatrecinq;0304/12/0500:00:00.226;Y;12571
228;2007/11/0510:44:43.228;12.572;undeuxtroisquatrecinq;0304/12/0500:00:00.227;Y;12572
229;2007/11/0510:44:43.229;12.573;undeuxtroisquatrecinq;0304/12/0500:00:00.228;Y;12573
230;2007/11/0510:44:43.230;12.574;undeuxtroisquatrecinq;0304/12/0500:00:00.229;Y;12574
231;2007/11/0510:44:43.231;12.575;undeuxtroisquatrecinq;0304/12/0500:00:00.230;Y;12575
232;2007/11/0510:44:43.232;12.576;undeuxtroisquatrecinq;0304/12/0500:00:00.231;Y;12576
233;2007/11/0510:44:43.233;12.577;undeuxtroisquatrecinq;0304/12/0500:00:00.232;Y;12577
234;2007/11/0510:44:43.234;12.578;undeuxtroisquatrecinq;0304/12/0500:00:00.233;Y;12578
235;2007/11/0510:44:43.235;12.579;undeuxtroisquatrecinq;0304/12/0500:00:00.234;Y;12579
236;2007/11/0510:44:43.236;12.580;undeuxtroisquatrecinq;0304/12/0500:00:00.235;Y;12580
237;2007/11/0510:44:43.237;12.581;undeuxtroisquatrecinq;0304/12/0500:00:00.236;Y;12581
238;2007/11/0510:44:43.238;12.582;undeuxtroisquatrecinq;0304/12/0500:00:00.237;Y;12582
239;2007/11/0510:44:43.239;12.583;undeuxtroisquatrecinq;0304/12/0500:00:00.238;Y;12583
240;2007/11/0510:44:43.240;12.584;undeuxtroisquatrecinq;0304/12/0500:00:00.239;Y;12584
241;2007/11/0510:44:43.241;12.585;undeuxtroisquatrecinq;0304/12/0500:00:00.240;Y;12585
242;2007/11/0510:44:43.242;12.586;undeuxtroisquatrecinq;0304/12/0500:00:00.241;Y;12586
243;2007/11/0510:44:43.243;12.587;undeuxtroisquatrecinq;0304/12/0500:00:00.242;Y;12587
244;2007/11/0510:44:43.244;12.588;undeuxtroisquatrecinq;0304/12/0500:00:00.243;Y;12588
245;2007/11/0510:44:43.245;12.589;undeuxtroisquatrecinq;0304/12/0500:00:00.244;Y;12589
246;2007/11/0510:44:43.246;12.590;undeuxtroisquatrecinq;0304/12/0500:00:00.245;Y;12590
247;2007/11/0510:44:43.247;12.591;undeuxtroisquatrecinq;0304/12/0500:00:00.246;Y;12591
248;2007/11/0510:44:43.248;12.592;undeuxtroisquatrecinq;0304/12/0500:00:00.247;Y;12592
249;2007/11/0510:44:43.249;12.593;undeuxtroisquatrecinq;0304/12/0500:00:00.248;Y;12593
250;2007/11/0510:44:43.250;12.594;undeuxtroisquatrecinq;0304/12/0500:00:00.249;Y;12594
251;2007/11/0510:44:43.251;12.595;undeuxtroisquatrecinq;0304/12/0500:00:00.250;Y;12595
252;2007/11/0510:44:43.252;12.596;undeuxtroisquatrecinq;0304/12/0500:00:00.251;Y;12596
253;2007/11/0510:44:43.253;12.597;undeuxtroisquatrecinq;0304/12/0500:00:00.252;Y;12597
254;2007/11/0510:44:43.254;12.598;undeuxtroisquatrecinq;0304/12/0500:00:00.253;Y;12598
255;2007/11/0510:44:43.255;12.599;undeuxtroisquatrecinq;0304/12/0500:00:00.254;Y;12599
256;2007/11/0510:44:43.256;12.600;undeuxtroisquatrecinq;0304/12/0500:00:00.255;Y;12600
257;2007/11/0510:44:43.257;12.601;undeuxtroisquatrecinq;0304/12/0500:00:00.256;Y;12601
258;2007/11/0510:44:43.258;12.602;undeuxtroisquatrecinq;0304/12/0500:00:00.257;Y;12602
