id;nomClient;adresseClient;idEtat;id2;tempsInsc;somme1;somme2
3940;AA Advertising;614 green bay Rd.;30;50;18/05/2000 08:20;12744;66703.49
4069;AA Advertising;917 Fairview Ave.  Apt. 982;46;49;10/07/1990 09:53;31875;71253.15
4193;AA Advertising;2632 Prarie Ln.;11;12;30/12/2001 12:42;12380;71680.93
4204;AA Advertising;1701 W. Mellody Rd.;34;15;06/09/2006 04:22;18436;78380.625
4265;AA Advertising;1101 Deerfield Place;24;14;13/10/2001 17:00;40400;80630.52
4535;AA Advertising;4763 Blackhawk Rd.;21;44;24/10/1985 12:07;75756;30824.633
4542;AA Advertising;2045 St. johns Ave.;9;31;25/10/1989 15:02;82688;21324.268
4682;AA Advertising;581 Hill St. Apt. 234;42;50;16/03/2003 10:40;45390;46428.47
4733;AA Advertising;2632 Prarie Ln.;8;34;09/03/1977 03:48;57718;34326.848
4795;AA Advertising;812 North Ave.;33;40;11/03/2002 00:28;35835;81836.86
4905;AA Advertising;600 Central Ave;25;29;28/07/2003 14:47;26012;82210.01
132;AAA Daniels Antiques;600 Central Ave;15;4;30/12/1983 19:20;9868;87040.71
183;AAA Daniels Antiques;511 Hill;13;1;01/03/1977 10:27;36506;94185.5
422;AAA Daniels Antiques;1839 McCraren Rd.;19;10;08/05/1972 20:07;54080;19090.209
486;AAA Daniels Antiques;886 Yale Lane;2;17;17/01/1999 19:07;26614;33549.727
641;AAA Daniels Antiques;750 Homewood Ave.;43;8;14/04/2006 20:07;84602;17360.43
904;AAA Daniels Antiques;14836 W. River Oaks Dr.;37;14;14/03/1970 10:53;56656;9370.574
1000;AAA Daniels Antiques;1957 Huntington Ave.;41;23;22/10/1980 11:53;6863;49532.258
1293;AAA Daniels Antiques;785 Highland place;49;29;28/12/1986 13:20;66408;74608.36
1314;AAA Daniels Antiques;1337 Cavell Ave.;37;16;19/12/2001 14:40;94734;73520.6
1369;AAA Daniels Antiques;115 Judson Rd.;30;25;14/06/1996 14:47;36536;91575.41
1467;AAA Daniels Antiques;886 Yale Lane;40;18;30/10/2005 03:20;2290;53985.01
1967;AAA Daniels Antiques;600 Central Ave.;45;9;28/09/1978 04:07;83358;87165.13
2072;AAA Daniels Antiques;2112 Ravine Drive;10;42;24/09/2005 18:20;70570;81052.22
2476;AAA Daniels Antiques;3148 cottonwood Ct.;45;23;30/04/2006 17:02;8993;40672.113
2712;AAA Daniels Antiques;807 Old Trail Rd.;5;21;28/03/1989 22:28;4696;41220.266
2999;AAA Daniels Antiques;2479 Woodridge Drive;33;18;15/05/2001 02:07;30866;6844.219
3119;AAA Daniels Antiques;1270 Linden Ave.;48;2;24/12/1971 22:00;79616;65000.145
3643;AAA Daniels Antiques;1101 Deerfield Place;6;49;04/02/2005 06:53;69856;59444.81
3644;AAA Daniels Antiques;12 Walker Ave.;39;50;09/04/2000 18:07;84666;39544.727
3735;AAA Daniels Antiques;406 Trinity Ct.;31;11;28/01/1994 23:33;61914;9319.355
3846;AAA Daniels Antiques;1450 Harding Ave.;42;5;24/11/2000 07:33;68776;80338.71
4150;AAA Daniels Antiques;241 Callan Rd.;12;44;06/08/1990 08:22;11360;89120.32
4200;AAA Daniels Antiques;3059 Priscilla Court;14;41;13/04/2006 07:15;11500;67460.36
4207;AAA Daniels Antiques;839 Burton Ave;18;4;04/09/1975 02:48;87500;49986.855
4242;AAA Daniels Antiques;671 Blackstone Ave.;24;7;17/09/1990 00:22;28528;47620.484
4457;AAA Daniels Antiques;628 Orwenstensia;50;20;27/11/1996 02:00;88672;96363.914
4514;AAA Daniels Antiques;1450 Harding Ave.;32;10;12/04/2004 06:40;24994;98165.055
4686;AAA Daniels Antiques;865 Old Tall Tree Lane;43;21;01/06/1999 02:20;82768;90300.74
4892;AAA Daniels Antiques;220 Vine Ave.;7;10;15/07/2003 12:08;29388;6414.5806
4927;AAA Daniels Antiques;844 Spruce St.;39;34;14/11/1975 12:27;70710;33126.496
4971;AAA Daniels Antiques;669 Kikaid;41;24;23/11/2001 10:53;52332;21856.924
29;Acme Chemical Supply;1858 Balsam Way;6;22;29/03/2006 21:22;52443;90392.03
258;Acme Chemical Supply;632 Roger Williams;19;35;03/08/2005 05:13;98804;44962.6
269;Acme Chemical Supply;970 Vilas Circle;1;46;01/03/1980 02:55;18652;39184.684
538;Acme Chemical Supply;465 Stratford Rd.;16;39;12/10/1982 20:47;3230;77930.51
717;Acme Chemical Supply;854 Woodbine;7;24;24/12/1990 08:28;32850;56503.22
817;Acme Chemical Supply;1547 Knolwood Rd.;18;9;28/07/1990 02:08;61488;13440.33
2094;Acme Chemical Supply;355 Golf Rd.;28;11;13/01/1977 10:40;91086;2050.3557
2221;Acme Chemical Supply;368 Woodland Rd.;20;11;20/10/2004 20:20;13020;81834.79
2543;Acme Chemical Supply;937 Judson Ave.;2;42;11/07/1974 19:40;36515;29400.945
2547;Acme Chemical Supply;21 Lakeview Terrace #2312;29;29;22/02/2003 01:48;37800;18388.95
2610;Acme Chemical Supply;2870 Skokie Rd.;35;2;05/02/1986 22:42;70751;88050.164
2623;Acme Chemical Supply;2600 Winsor Mall;39;3;26/05/2007 09:15;17200;85691.055
2665;Acme Chemical Supply;581 Hill St. Apt. 234;38;8;14/01/1977 14:27;91450;46014.027
2710;Acme Chemical Supply;1233 Arbor Rd.;48;19;14/08/1989 13:13;84000;16184.484
3110;Acme Chemical Supply;857 Woodbine Rd;2;39;07/05/2005 06:07;57416;13450.886
3487;Acme Chemical Supply;857 Woodbine Rd;34;37;13/03/2006 09:20;94502;72158.08
3701;Acme Chemical Supply;225 Jeffrys Place;31;5;14/06/2000 15:00;58960;72980.25
3706;Acme Chemical Supply;1875 Roger Williams Ave.;4;41;25/04/1977 08:07;61575;78150.2
3803;Acme Chemical Supply;1949 Cloverdale Rd.;4;30;10/10/2001 22:20;98831;18337.973
4538;Acme Chemical Supply;618 Sheriden rd.;23;6;07/12/1992 20:27;76357;31777.898
4753;Acme Chemical Supply;313 Grove Ave.;21;3;06/03/2000 00:15;4975;69632.336
4829;Acme Chemical Supply;1920 Sunnyside Ave.;5;48;03/08/1970 11:28;6581;91308.63
4952;Acme Chemical Supply;201-C Frontage Rd.;40;49;27/06/2001 14:33;7880;61240.395
18;Acturial Enterprises Ltd.;3385 University Ave.;34;12;07/04/2001 10:42;45292;17008.766
67;Acturial Enterprises Ltd.;1486 Oakwood;32;45;16/07/2006 17:28;90900;41916.742
255;Acturial Enterprises Ltd.;669 Kikaid;18;15;15/09/1989 23:00;31965;41600.02
426;Acturial Enterprises Ltd.;1949 Cloverdale Rd.;36;27;23/05/2003 09:28;64950;66828.46
559;Acturial Enterprises Ltd.;1535 Knollwood Drive;46;42;28/09/1990 14:08;34380;92040.89
621;Acturial Enterprises Ltd.;965 Marion Place Apt. 65C;48;10;08/03/1972 18:28;9218;95456.766
849;Acturial Enterprises Ltd.;512 Hill;24;6;26/01/1980 09:35;58690;71394.17
861;Acturial Enterprises Ltd.;3148 cottonwood Ct.;18;44;20/05/2002 05:02;89872;78996.914
863;Acturial Enterprises Ltd.;1482 Concorde Circle;48;36;03/12/1983 19:22;94659;72430.98
1038;Acturial Enterprises Ltd.;22 Clay rd.;2;50;30/12/2004 13:07;91175;63212.867
1137;Acturial Enterprises Ltd.;929 Brittany Ave.;31;15;22/10/1992 14:20;88392;64198.863
1377;Acturial Enterprises Ltd.;865 Old Tall Tree Lane;30;7;24/01/1982 13:35;8723;73732.72
1610;Acturial Enterprises Ltd.;10 Marquette Rd.;15;34;13/02/1990 09:07;90760;89508.72
1742;Acturial Enterprises Ltd.;115 Pleasent Ave.;36;47;02/09/2002 12:48;98496;87412.914
1921;Acturial Enterprises Ltd.;1975 elmwood Circle;2;42;10/04/2001 11:53;65800;25478.64
2000;Acturial Enterprises Ltd.;14836 W. River Oaks Dr.;23;46;24/08/1974 19:13;60160;56202.586
2023;Acturial Enterprises Ltd.;1185 County line Rd.;37;16;25/10/1975 10:07;70604;90348.64
2133;Acturial Enterprises Ltd.;965 Marion Place Apt. 65C;9;26;26/04/1982 21:13;55750;65523.875
2227;Acturial Enterprises Ltd.;231 Sheriden Rd.;20;15;03/10/1985 23:42;25522;54014.254
2559;Acturial Enterprises Ltd.;2678 Sheridan Rd.;14;17;05/06/1974 22:33;24232;72160.96
2592;Acturial Enterprises Ltd.;3344 Beachwood Ln.;29;48;14/12/2006 08:40;78544;6173.695
2659;Acturial Enterprises Ltd.;1619 Judson Ave. Apt #34B;45;44;23/04/1986 00:27;42464;95752.37
3105;Acturial Enterprises Ltd.;1535 Knollwood Drive;43;37;21/07/1992 07:27;94304;57048.8
3163;Acturial Enterprises Ltd.;643 De Temple Rd.;20;29;26/12/2000 03:07;60654;1264.4402
3319;Acturial Enterprises Ltd.;3487 Green Bay Rd.;47;50;03/12/2001 20:53;31016;42732.75
3848;Acturial Enterprises Ltd.;445 Park Ave.;3;18;22/12/1986 18:27;81921;92524.01
3927;Acturial Enterprises Ltd.;785 Highland place;47;48;17/11/1986 08:27;44910;74156.34
3942;Acturial Enterprises Ltd.;35 Glenlake Dr.;4;33;18/05/2006 10:47;62117;30480.365
4007;Acturial Enterprises Ltd.;1077 Court Ave.;26;20;15/09/1982 18:47;57024;26287.334
4031;Acturial Enterprises Ltd.;1575 Oakwood Ave.;36;47;15/12/1977 09:48;67748;1737.1014
4536;Acturial Enterprises Ltd.;4522 N. Greenview Apt. 1B;46;41;12/01/2001 22:55;42302;89691.61
4729;Acturial Enterprises Ltd.;45 South Deer Creek Drive;1;21;08/10/2006 22:07;47488;49312.496
4811;Acturial Enterprises Ltd.;3901 Chester Ave. Apt. 3C;19;29;03/10/1974 03:40;77904;49760.457
197;Air Barbados;42 Valley Rd.;37;16;11/04/1977 09:47;39884;88031.086
997;Air Barbados;886 Yale Lane;31;20;03/04/1974 05:47;18770;78094.945
1022;Air Barbados;812 North Ave.;34;10;24/07/2001 19:40;83037;63762.613
1071;Air Barbados;115 Pleasent Ave.;22;25;04/12/1992 00:02;63020;65272.766
1799;Air Barbados;505 N. Frances St.;21;37;16/11/1972 22:13;28854;49509.977
1896;Air Barbados;12 Craven Way;5;13;14/09/1997 02:20;37016;57508.96
2002;Air Barbados;512 Hill;35;46;27/01/2007 03:08;53496;55195.926
2039;Air Barbados;1444 Chantilly Ln.;33;43;16/01/2001 12:40;64842;20517.914
2479;Air Barbados;632 Roger Williams;22;24;13/07/2001 09:27;36984;32870.523
2749;Air Barbados;1077 Court Ave.;28;6;29/06/2003 19:27;19641;98472.92
3147;Air Barbados;21 Lakeview Terrace #2312;13;19;07/02/1996 02:27;13363;18696.602
3160;Air Barbados;3062 Lindenwood Ln.;26;27;04/06/2000 00:20;41808;83600.41
3268;Air Barbados;614 green bay Rd.;5;8;02/10/2001 19:53;66124;32828.797
3640;Air Barbados;2505 Allison ct.;40;28;12/03/1970 22:02;10221;20622.338
3736;Air Barbados;1777 balsamic Ave.;12;11;18/06/1985 17:27;4514;39712.266
3840;Air Barbados;1233 Arbor Rd.;45;45;19/03/2001 08:00;60704;80352.55
3856;Air Barbados;2600 Winsor Mall;37;43;20/07/1974 05:42;9240;10180.187
4303;Air Barbados;3059 Priscilla Court;35;30;22/02/1980 00:28;65825;65105.176
4509;Air Barbados;241 Callan Rd.;38;49;14/12/2007 21:22;31662;276.1483
4955;Air Barbados;456 Groverland Ave.;19;4;01/09/1972 13:53;29877;36998.402
205;Air France;42 Valley Rd.;9;23;08/03/2005 07:35;82380;3511.7144
267;Air France;632 Florence Dr.;48;19;04/01/2005 03:35;14858;87089.64
444;Air France;1575 Oakwood Ave.;32;25;22/03/1980 08:00;88019;73228.33
643;Air France;425 Lake Ave.;42;20;13/08/2002 20:35;21625;40496.64
688;Air France;600 Central Ave;50;41;06/03/2000 04:55;12210;23808.377
877;Air France;1019 Deerfield Rd.;1;9;10/08/1983 22:47;47569;2340.9705
957;Air France;865 Old Tall Tree Lane;17;43;06/03/2007 07:48;44673;38660.2
1004;Air France;1858 Balsam Way;49;7;03/01/2003 16:27;60470;61105.016
1153;Air France;3148 cottonwood Ct.;45;12;21/02/2001 00:42;96558;71326.72
1210;Air France;632 Roger Williams;21;5;07/06/2000 16:20;51616;54379.355
1525;Air France;3385 University Ave.;19;22;13/02/2001 14:00;61020;24888.121
1527;Air France;242 Ashland Ave.;17;15;09/07/2006 18:48;62080;11084.196
1703;Air France;302-A Crestwood Village Rd.;14;14;22/03/1992 21:33;51740;68016.086
2144;Air France;1547 Knolwood Rd.;43;36;21/02/1971 23:35;92976;47147.363
2223;Air France;1270 Linden Ave.;2;8;19/11/1992 19:07;60096;76568.41
2441;Air France;241 Callan Rd.;36;33;29/09/1989 00:08;95397;3438.0803
2677;Air France;1882 St. Johns;50;39;09/12/2002 02:13;42844;53504.812
2769;Air France;512 Hill;46;10;12/07/1982 14:08;83291;77016.88
2988;Air France;10 Marquette Rd.;43;1;18/09/2001 05:53;9210;21912.098
3195;Air France;244 Briar Ln;22;41;01/09/2000 10:20;57216;11036.113
3206;Air France;12 Walker Ave.;34;14;21/12/1972 15:33;41418;64112.43
3485;Air France;77 Blackhawk Rd;48;36;16/04/1986 09:22;26190;62768.67
3519;Air France;600 Central Ave;4;31;18/01/1996 21:20;45553;57056.707
3698;Air France;1547 Knolwood Rd.;43;1;27/02/2003 02:00;74615;13400.034
3789;Air France;852 Sumac Rd.;39;45;09/04/2003 15:53;63890;21030.998
3854;Air France;1234 Devonshire Court;11;31;02/09/1986 00:07;59105;81561.11
4154;Air France;632 Roger Williams;41;31;18/06/2003 02:33;23944;69858.42
4220;Air France;139 Bay Colony Dr.;27;48;08/09/1990 03:13;72060;38468.26
4225;Air France;3059 Priscilla Court;6;34;03/08/1971 10:33;73016;85171.195
4598;Air France;614 green bay Rd.;13;1;02/04/2000 21:08;7085;67548.25
4631;Air France;788 Tennyson Ave.;14;19;13/08/1975 23:13;16866;25106.453
4641;Air France;788 Tennyson Ave.;14;21;13/08/1975 23:13;16866;25106.453
4775;Air France;1009 marvel Way;3;49;02/04/2000 00:13;68460;26548.533
4776;Air France;1235 Easton Rd.;22;19;04/07/2005 19:00;58769;67599.49
268;Air Guatamala;430 Oakland Drive;22;49;16/11/1971 08:15;44880;84775.516
304;Air Guatamala;310 Walker Ave.;1;3;02/12/2003 15:22;48320;35530.16
549;Air Guatamala;456 Groverland Ave.;41;12;23/03/1996 16:53;12912;53424.87
725;Air Guatamala;669 Kikaid;47;41;23/02/1974 04:55;70558;21832.355
1181;Air Guatamala;1957 Huntington Ave.;26;41;08/11/1989 11:22;54352;44440.992
1576;Air Guatamala;3150 Skokie Valley Rd.;43;5;18/02/2001 09:33;62016;61135.742
1694;Air Guatamala;2148 Eastview Dr.;14;25;29/12/2002 22:13;63104;55657.895
1732;Air Guatamala;1065 Hillcrest Circle;3;23;21/04/1993 22:22;21204;53586.953
1826;Air Guatamala;12 Walker Ave.;16;41;26/05/2006 13:13;33810;54330.574
1940;Air Guatamala;12 Skokie Valley Rd.;50;48;04/10/2002 22:35;1312;47122.953
2118;Air Guatamala;511 Maple Ave.  Apt. 1B;18;34;01/09/1989 05:28;96067;32044.266
2374;Air Guatamala;38976 Forest View Rd.;32;8;11/09/2003 21:13;14552;83067.45
2444;Air Guatamala;854 Woodbine;14;46;24/08/2000 22:07;4560;88192.516
2789;Air Guatamala;1450 Harding Ave.;42;19;27/11/1975 13:35;52924;62567.99
2850;Air Guatamala;54 Lakeview Terrace;4;35;29/08/1989 21:55;60982;6294.9507
3400;Air Guatamala;750 Homewood Ave.;1;26;28/07/1977 02:07;90930;44983.625
3626;Air Guatamala;45 South Deer Creek Drive;22;37;07/11/2001 13:35;81985;29268.797
3683;Air Guatamala;218 Oakridge Ave.;24;7;29/06/1994 04:20;73660;97720.4
3774;Air Guatamala;807 Old Trail Rd.;44;46;29/05/1980 15:53;68538;51860.42
3979;Air Guatamala;1575 Oak Ave.  Apt. 2C;20;4;12/06/1996 18:20;71300;41456.54
4138;Air Guatamala;1337 Cavell Ave.;8;20;23/03/2001 12:00;23680;18720.541
4524;Air Guatamala;669 Kikaid;37;49;08/04/2006 16:08;33890;70698.336
4736;Air Guatamala;2148 Eastview Dr.;5;5;20/03/2005 01:33;42538;92525.945
4846;Air Guatamala;3385 University Ave.;41;41;10/12/2007 06:15;39783;58462.42
4889;Air Guatamala;406 Trinity Ct.;40;11;18/11/2001 02:00;6282;15162.354
108;Air India;135 Lakewood place;9;29;07/06/2000 16:20;3045;13650.7
617;Air India;368 Woodland Rd.;36;22;25/11/1996 05:33;5646;88900.195
630;Air India;3901 Chester Ave. Apt. 3C;48;48;23/04/1971 04:02;65356;85896.625
699;Air India;334 Lynn Terrace;18;42;09/04/1994 15:00;55980;97768.97
745;Air India;334 Lynn Terrace;10;34;23/09/2001 13:40;2176;2331.2769
874;Air India;511 Hill;38;17;18/11/2001 20:42;80920;34448.465
1019;Air India;14836 W. River Oaks Dr.;44;22;01/02/1970 13:35;45115;83391.234
1073;Air India;1704 Ridgelee Rd;26;17;20/01/1978 16:00;6904;41880.43
1577;Air India;673 Calais Drive;39;6;09/11/1983 04:27;74318;36635.41
2260;Air India;465 Stratford Rd.;26;17;16/02/2005 19:33;61638;45208.652
2483;Air India;1770 first St.;45;5;07/12/1993 10:27;90635;52948.03
2668;Air India;14836 W. River Oaks Dr.;39;45;25/11/2005 18:13;8476;45896.168
2716;Air India;1444 Chantilly Ln.;10;25;04/02/1994 02:02;71559;42018.617
2717;Air India;120 high St.;10;36;23/10/1970 04:20;71646;41468.97
2773;Air India;225 Jeffrys Place;19;35;08/03/2005 11:47;45080;79914.71
2853;Air India;643 De Temple Rd.;3;49;27/02/1986 22:28;86048;45784.664
2880;Air India;2045 St. johns Ave.;25;38;03/08/1980 15:13;10896;93120.34
2884;Air India;1126 Hillcrest Ave;49;25;12/07/1987 23:28;78897;92948.42
3162;Air India;313 Grove Ave.;35;48;13/09/1985 12:47;56570;19108.5
3183;Air India;456 Grossman Ln.;49;37;02/05/2002 20:22;12812;9956.794
3357;Air India;22 Clay rd.;50;15;14/11/2001 14:40;32744;20574.645
3588;Air India;218 Oakridge Ave.;22;49;17/08/1999 15:27;19680;50050.914
3623;Air India;1245 Eastwood;32;5;26/03/2000 03:47;62958;78210.12
3752;Air India;1715 Chicago Ave.;9;6;26/03/2000 22:28;35433;99688.39
4337;Air India;3344 Beachwood Ln.;2;2;31/12/2001 16:28;67828;68610.04
4599;Air India;115 Judson Rd.;23;19;11/11/2001 17:33;82023;20928.287
4872;Air India;115 Judson Rd.;38;18;19/02/2006 01:35;76176;22462.492
577;Air Indonesia;456 Groverland Ave.;15;36;09/02/1986 10:02;33880;46365.027
645;Air Indonesia;618 Sheriden rd.;49;6;05/08/1980 22:47;85170;63160.82
663;Air Indonesia;120 high St.;2;48;12/04/1980 22:42;40920;97628.875
917;Air Indonesia;857 Woodbine Rd;25;41;18/07/2000 12:08;67861;87076.945
1124;Air Indonesia;1233 Arbor Rd.;28;21;06/12/1985 23:33;64912;28956.402
1198;Air Indonesia;245 Oakridge Ave.;8;43;17/02/2000 10:13;35398;11035.307
1253;Air Indonesia;12 Broadview Lane;19;40;15/04/2000 12:28;6288;11847.373
1530;Air Indonesia;965 Marion Place Apt. 65C;45;1;05/01/1971 12:42;25353;29200.969
1551;Air Indonesia;1019 Deerfield Rd.;46;16;01/02/2001 07:33;91288;1536.691
1627;Air Indonesia;654 Walnut Rd.;3;11;16/03/1992 15:33;12356;8944.66
1723;Air Indonesia;654 Walnut Rd.;23;13;05/02/1996 06:00;90179;51878.23
1779;Air Indonesia;1486 Old Deerfield Rd.;49;19;21/01/1974 00:27;45768;78601.0
1823;Air Indonesia;1547 Knolwood Rd.;26;6;12/08/1971 07:42;4224;38162.27
1890;Air Indonesia;1444 Chantilly Ln.;25;30;08/07/1972 17:13;64650;65568.82
2508;Air Indonesia;1831 Beverly Place #9D;19;37;06/06/2004 21:00;63540;66248.445
2719;Air Indonesia;1795 Lake Cook Rd.;9;48;28/01/2004 08:42;54752;12811.13
2822;Air Indonesia;1920 Sunnyside Ave.;44;21;23/12/1974 19:47;71752;54550.664
2862;Air Indonesia;581 Hill St. Apt. 234;36;3;12/11/1971 02:13;64342;16386.11
2942;Air Indonesia;1486 Oakwood;1;21;14/10/2000 01:13;56302;6392.4575
2993;Air Indonesia;3148 cottonwood Ct.;10;42;02/01/2005 21:07;54333;18371.953
3031;Air Indonesia;355 Golf Rd.;37;21;24/01/1971 10:13;31515;55668.61
3071;Air Indonesia;632 Roger Williams;24;8;12/03/2003 11:08;44294;42120.277
3250;Air Indonesia;1547 Knolwood Rd.;1;11;11/04/1974 15:48;58708;77977.78
3291;Air Indonesia;38976 Forest View Rd.;4;41;23/02/1989 01:20;50249;78112.62
3645;Air Indonesia;2112 Ravine Drive;49;23;17/06/1990 13:55;87926;73032.43
3834;Air Indonesia;3181 Barkwood Ct.;37;24;23/12/1990 13:47;35840;10810.112
3873;Air Indonesia;788 Tennyson Ave.;18;50;06/02/1972 04:53;99014;65444.703
4100;Air Indonesia;628 Orwenstensia;8;48;30/07/1994 01:15;61871;83091.96
4268;Air Indonesia;2510 Crain;21;9;08/10/1983 23:27;83749;93600.48
4286;Air Indonesia;1975 elmwood Circle;16;6;10/06/2004 15:55;22528;94014.27
4651;Air Indonesia;1486 Old Deerfield Rd.;10;21;23/01/2000 01:33;29432;96842.86
4981;Air Indonesia;21 Lakeview Terrace #2312;2;12;12/10/1998 14:47;86012;81812.914
69;Air Mexico;313 Grove Ave.;6;32;05/11/2003 21:22;63097;44552.066
103;Air Mexico;12 Skokie Valley Rd.;31;6;06/03/1992 05:33;62522;72148.98
129;Air Mexico;1535 Knollwood Drive;14;3;23/09/1974 10:20;85200;78053.97
298;Air Mexico;465 Stratford Rd.;8;42;21/12/1992 17:47;50532;50990.035
311;Air Mexico;1486 Old Deerfield Rd.;41;24;14/10/2000 20:20;48730;38422.375
319;Air Mexico;2678 Sheridan Rd.;2;29;13/05/1977 00:22;55065;35624.86
421;Air Mexico;313 Grove Ave.;12;10;17/08/1982 03:40;91180;64514.582
456;Air Mexico;2678 Sheridan Rd.;48;22;05/08/1985 15:27;80050;10108.255
509;Air Mexico;12 Skokie Valley Rd.;18;19;31/01/2006 05:33;32962;78780.22
782;Air Mexico;1704 Ridgelee Rd;15;18;12/05/1977 16:47;56070;68062.266
1060;Air Mexico;1714 Clifton Rd.;37;5;04/04/2001 21:28;60416;44632.645
1134;Air Mexico;600 Central Ave.;28;26;25/06/1987 14:48;58474;4917.9546
1245;Air Mexico;1126 Hillcrest Ave;39;47;07/05/1972 23:55;22656;9586.414
1259;Air Mexico;456 Groverland Ave.;6;21;01/11/1994 03:20;40416;19494.777
1435;Air Mexico;5518 Madison St.;26;10;08/09/2006 04:20;93655;15516.126
1495;Air Mexico;225 Jeffrys Place;29;20;25/07/1989 09:53;85318;89540.42
1626;Air Mexico;872 Virginia Rd.;7;48;19/09/2003 14:35;89902;95673.09
1656;Air Mexico;2632 Prarie Ln.;48;47;11/05/2001 17:53;15992;67488.98
1762;Air Mexico;35 Glenlake Dr.;3;9;19/05/2001 20:20;74850;81068.15
2316;Air Mexico;1486 Old Deerfield Rd.;48;30;02/01/2006 18:53;27391;68675.016
2507;Air Mexico;662 Lyons Circle;32;28;13/02/2004 06:00;4796;42400.773
2602;Air Mexico;1482 Concorde Circle;39;15;03/11/1975 15:20;67029;53730.75
2690;Air Mexico;865 Old Tall Tree Lane;9;36;26/10/2005 06:55;7640;75481.77
3759;Air Mexico;1915 Lewis Ln.  Apt 13;46;29;01/09/1983 22:33;89972;60016.723
3988;Air Mexico;38976 Forest View Rd.;3;20;25/11/2000 22:27;46885;51056.254
4176;Air Mexico;1234 Devonshire Court;1;11;05/10/1977 01:40;56012;16554.371
4377;Air Mexico;1859 Green Bay Rd.;37;29;15/12/2006 16:27;52748;96035.2
4444;Air Mexico;1486 Oakwood;21;49;17/07/1977 16:07;27625;46959.637
4636;Air Mexico;3150 Skokie Valley Rd.;40;1;20/09/2003 18:22;21232;36240.164
4646;Air Mexico;3150 Skokie Valley Rd.;40;26;20/09/2003 18:22;21232;36240.164
4926;Air Mexico;2505 Allison ct.;12;29;09/05/1987 03:55;79537;10546.671
810;American Apartments;2224 Sherman Rd.;43;41;25/06/1978 13:55;29365;11964.192
1332;American Apartments;1550 Ridge Rd.;31;45;19/09/2003 14:35;2238;25608.082
1444;American Apartments;1619 Judson Ave. Apt #34B;40;26;11/01/1977 19:47;5360;16078.651
1515;American Apartments;1450 Harding Ave.;46;21;07/11/1983 04:28;81122;84995.266
1636;American Apartments;368 Woodland Rd.;7;3;29/03/1983 15:33;78695;8095.724
1824;American Apartments;1795 Lake Cook Rd.;47;22;29/10/1996 03:33;27860;77679.016
1841;American Apartments;45 South Deer Creek Drive;6;34;24/05/2001 08:20;88938;9531.814
1992;American Apartments;1954 First St.;48;13;02/09/1994 18:35;13228;74154.99
2093;American Apartments;1839 McCraren Rd.;31;2;09/05/2004 11:53;5728;22536.914
2189;American Apartments;785 Highland place;39;3;13/01/1997 03:48;70664;93200.92
2220;American Apartments;1009 marvel Way;22;36;08/01/1986 00:15;95200;97300.23
2226;American Apartments;865 Old Tall Tree Lane;19;46;11/03/1986 21:20;77390;22993.828
